date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:04	99610/99610	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:04%20GMT	https://sites.google.com/view/rakorda/home	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/home.html	(from )
23:34:04	77/77	---MCZ	200	added ('OK')	text/plain	date:Wed,%2031%20Aug%202022%2015:34:08%20GMT	https://sites.google.com/robots.txt		(from )
23:34:05	14084/14084	---M--	200	added ('OK')	text/javascript	etag:%22e4726f3f63043881%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/kakilyasasli/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/rakorda/home)
23:34:07	102547/102547	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:10%20GMT	https://sites.google.com/view/rakorda/tentang-kegiatan	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/tentang-kegiatan.html	(from https://sites.google.com/view/rakorda/home)
23:34:07	84264/84264	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:11%20GMT	https://sites.google.com/view/rakorda/form-pendaftaran	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/form-pendaftaran.html	(from https://sites.google.com/view/rakorda/home)
23:34:08	85122/85122	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:11%20GMT	https://sites.google.com/view/rakorda/dashboard-peserta	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/dashboard-peserta.html	(from https://sites.google.com/view/rakorda/home)
23:34:08	83855/83855	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:12%20GMT	https://sites.google.com/view/rakorda/materi	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/materi.html	(from https://sites.google.com/view/rakorda/home)
23:34:09	85164/85164	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:12%20GMT	https://sites.google.com/view/rakorda/dokumentasi	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/dokumentasi.html	(from https://sites.google.com/view/rakorda/home)
23:34:09	85948/85948	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:13%20GMT	https://sites.google.com/view/rakorda/rundown	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/rundown.html	(from https://sites.google.com/view/rakorda/home)
23:34:10	95391/95391	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:13%20GMT	https://sites.google.com/view/rakorda/notulensi	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/notulensi.html	(from https://sites.google.com/view/rakorda/home)
23:34:11	95978/95978	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:14%20GMT	https://sites.google.com/view/rakorda/paparan-kabkota	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/paparan-kabkota.html	(from https://sites.google.com/view/rakorda/home)
23:34:12	84003/84003	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:34:15%20GMT	https://sites.google.com/view/rakorda/dokumen-lainnya	C:/My%20Web%20Sites/kakilyasasli/sites.google.com/view/rakorda/dokumen-lainnya.html	(from https://sites.google.com/view/rakorda/home)
